airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Jet Airways,2019-06-12,Kolkata,Banglore,18:55:00,18:15:00,1400,1.0,In-flight meal not included,8529
Indigo,2019-03-18,Mumbai,Hyderabad,06:20:00,07:45:00,85,0.0,No info,3342
Jet Airways,2019-06-09,Kolkata,Banglore,09:35:00,22:05:00,750,1.0,In-flight meal not included,13994
Jet Airways,2019-06-06,Kolkata,Banglore,20:25:00,09:45:00,800,1.0,In-flight meal not included,10539
Indigo,2019-03-24,Banglore,New Delhi,08:30:00,11:30:00,180,0.0,No info,7303
Multiple Carriers,2019-03-06,Delhi,Cochin,11:30:00,19:15:00,465,1.0,No info,15077
Jet Airways,2019-03-18,Banglore,New Delhi,08:55:00,15:15:00,380,1.0,No info,12284
Jet Airways,2019-05-12,Mumbai,Hyderabad,10:20:00,11:50:00,90,0.0,No info,5678
Jet Airways,2019-03-01,Banglore,New Delhi,05:45:00,19:10:00,805,1.0,No info,27992
Air India,2019-05-18,Kolkata,Banglore,05:50:00,20:25:00,875,2.0,No info,12093
Air Asia,2019-06-12,Kolkata,Banglore,07:35:00,19:25:00,710,1.0,No info,5192
Jet Airways,2019-05-27,Mumbai,Hyderabad,02:55:00,04:20:00,85,0.0,No info,5678
Indigo,2019-05-27,Delhi,Cochin,07:35:00,12:10:00,275,1.0,No info,5054
Air India,2019-03-06,Mumbai,Hyderabad,05:05:00,16:55:00,710,2.0,No info,16697
Vistara,2019-05-21,Kolkata,Banglore,17:00:00,23:25:00,385,1.0,No info,9345
Indigo,2019-03-06,Chennai,Kolkata,07:55:00,10:15:00,140,0.0,No info,7295
Indigo,2019-04-15,Kolkata,Banglore,15:15:00,20:05:00,290,1.0,No info,4775
Indigo,2019-06-01,Delhi,Cochin,06:50:00,16:10:00,560,1.0,No info,6442
Jet Airways,2019-04-01,Mumbai,Hyderabad,10:20:00,11:50:00,90,0.0,No info,8040
Air India,2019-05-09,Delhi,Cochin,14:25:00,19:15:00,1730,2.0,No info,13591
Indigo,2019-06-21,Mumbai,Hyderabad,09:10:00,10:40:00,90,0.0,No info,5755
Indigo,2019-04-27,Banglore,Delhi,13:00:00,15:50:00,170,0.0,No info,4423
Jet Airways,2019-05-18,Kolkata,Banglore,09:35:00,19:10:00,575,1.0,In-flight meal not included,12384
Spicejet,2019-03-21,Delhi,Cochin,08:45:00,13:15:00,270,1.0,No check-in baggage included,6356
Spicejet,2019-03-06,Kolkata,Banglore,17:15:00,19:45:00,150,0.0,No info,4622
Jet Airways,2019-06-12,Kolkata,Banglore,21:10:00,08:15:00,665,1.0,In-flight meal not included,8529
Jet Airways,2019-05-27,Delhi,Cochin,20:55:00,19:00:00,1325,1.0,In-flight meal not included,12898
Jet Airways,2019-03-21,Banglore,New Delhi,14:05:00,07:40:00,1055,1.0,In-flight meal not included,7832
Air Asia,2019-06-12,Kolkata,Banglore,19:55:00,22:25:00,150,0.0,No info,3807
Vistara,2019-04-01,Kolkata,Banglore,07:10:00,23:25:00,975,1.0,No info,7927
Air India,2019-06-24,Delhi,Cochin,09:00:00,19:15:00,615,1.0,No info,9404
Indigo,2019-05-21,Delhi,Cochin,16:00:00,21:00:00,300,1.0,No info,7255
Air India,2019-05-18,Delhi,Cochin,20:40:00,09:25:00,765,1.0,No info,7480
Indigo,2019-06-15,Banglore,Delhi,01:30:00,04:15:00,165,0.0,No info,3419
Jet Airways,2019-06-09,Kolkata,Banglore,08:25:00,20:45:00,740,1.0,No info,14571
Multiple Carriers,2019-06-01,Delhi,Cochin,07:30:00,19:00:00,690,1.0,No info,11200
Jet Airways,2019-06-03,Delhi,Cochin,15:00:00,19:00:00,1680,1.0,In-flight meal not included,10262
Spicejet,2019-05-06,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No info,3597
Air India,2019-06-01,Delhi,Cochin,12:30:00,09:25:00,1255,1.0,No info,7480
Indigo,2019-06-15,Delhi,Cochin,07:35:00,16:10:00,515,1.0,No info,6442
Indigo,2019-05-27,Delhi,Cochin,23:30:00,04:35:00,305,1.0,No info,9476
Jet Airways,2019-04-01,Kolkata,Banglore,20:00:00,22:35:00,1595,1.0,In-flight meal not included,7064
Jet Airways,2019-05-18,Delhi,Cochin,13:25:00,12:35:00,1390,2.0,No info,16704
Jet Airways,2019-04-12,Banglore,Delhi,07:10:00,10:10:00,180,0.0,In-flight meal not included,5198
Multiple Carriers,2019-06-24,Delhi,Cochin,08:00:00,21:00:00,780,1.0,No info,13797
Jet Airways,2019-03-24,Banglore,New Delhi,08:55:00,09:00:00,1445,1.0,In-flight meal not included,8147
Indigo,2019-06-24,Kolkata,Banglore,14:25:00,16:55:00,150,0.0,No info,4804
Jet Airways,2019-05-15,Kolkata,Banglore,08:25:00,19:50:00,685,1.0,In-flight meal not included,10844
Multiple Carriers,2019-05-09,Delhi,Cochin,07:30:00,19:00:00,690,1.0,No info,9315
Indigo,2019-05-15,Delhi,Cochin,16:00:00,01:30:00,570,1.0,No info,7923
Indigo,2019-06-15,Delhi,Cochin,17:30:00,01:30:00,480,1.0,No info,5883
Jet Airways,2019-03-24,Kolkata,Banglore,13:55:00,23:25:00,570,1.0,No info,14231
Indigo,2019-06-21,Banglore,Delhi,22:10:00,01:00:00,170,0.0,No info,3943
Air India,2019-04-03,Delhi,Cochin,06:05:00,09:25:00,1640,1.0,No info,5117
Jet Airways,2019-03-24,Mumbai,Hyderabad,15:50:00,17:20:00,90,0.0,No info,5678
Jet Airways,2019-03-21,Banglore,New Delhi,22:50:00,10:25:00,695,1.0,In-flight meal not included,7832
Air India,2019-05-15,Delhi,Cochin,13:05:00,09:25:00,1220,2.0,No info,10975
Multiple Carriers,2019-03-01,Delhi,Cochin,12:50:00,19:15:00,385,1.0,No info,36983
Air Asia,2019-03-09,Banglore,New Delhi,23:25:00,02:10:00,165,0.0,No info,4482
Indigo,2019-05-21,Delhi,Cochin,23:30:00,04:35:00,305,1.0,No info,8745
Indigo,2019-05-01,Banglore,Delhi,10:10:00,13:00:00,170,0.0,No info,3943
Air India,2019-03-27,Delhi,Cochin,20:30:00,08:15:00,705,1.0,No info,5998
Air India,2019-06-03,Delhi,Cochin,20:40:00,09:25:00,765,1.0,No info,7480
Air India,2019-03-01,Banglore,New Delhi,17:00:00,12:15:00,1155,1.0,No info,10246
Air India,2019-06-15,Delhi,Cochin,10:55:00,07:40:00,1245,2.0,No info,11753
Spicejet,2019-05-18,Banglore,Delhi,21:10:00,00:05:00,175,0.0,No check-in baggage included,3919
Spicejet,2019-04-03,Banglore,Delhi,09:30:00,12:20:00,170,0.0,No info,3971
Indigo,2019-05-18,Banglore,Delhi,10:30:00,13:20:00,170,0.0,No info,3943
Indigo,2019-05-18,Delhi,Cochin,16:00:00,01:30:00,570,1.0,No info,7191
Jet Airways,2019-06-12,Delhi,Cochin,14:35:00,12:35:00,1320,2.0,No info,13376
Multiple Carriers,2019-06-24,Delhi,Cochin,15:15:00,01:30:00,615,1.0,In-flight meal not included,5797
Multiple Carriers,2019-06-01,Delhi,Cochin,08:00:00,21:00:00,780,1.0,No info,13587
Jet Airways,2019-03-21,Banglore,New Delhi,20:35:00,07:40:00,665,1.0,In-flight meal not included,7832
Jet Airways,2019-06-06,Kolkata,Banglore,20:00:00,22:35:00,1595,1.0,In-flight meal not included,10844
Spicejet,2019-05-12,Chennai,Kolkata,09:45:00,12:00:00,135,0.0,No check-in baggage included,3543
Jet Airways,2019-05-27,Delhi,Cochin,19:15:00,12:35:00,1040,1.0,In-flight meal not included,12898
Multiple Carriers,2019-03-27,Delhi,Cochin,10:20:00,01:35:00,915,1.0,No info,6427
Multiple Carriers,2019-05-21,Delhi,Cochin,14:00:00,21:00:00,420,1.0,No info,14067
Jet Airways,2019-05-12,Kolkata,Banglore,06:30:00,09:20:00,1610,1.0,In-flight meal not included,9663
Air India,2019-03-01,Delhi,Cochin,09:45:00,08:15:00,1350,1.0,No info,22798
Indigo,2019-06-24,Banglore,Delhi,18:55:00,21:50:00,175,0.0,No info,4823
Jet Airways,2019-06-21,Banglore,Delhi,15:15:00,18:10:00,175,0.0,No info,8016
Air India,2019-03-21,Delhi,Cochin,21:00:00,07:40:00,640,1.0,No info,6902
Indigo,2019-05-27,Kolkata,Banglore,14:25:00,16:55:00,150,0.0,No info,5224
Air Asia,2019-06-24,Delhi,Cochin,16:45:00,06:35:00,830,1.0,No info,6752
Jet Airways,2019-03-27,Delhi,Cochin,11:30:00,04:25:00,1015,1.0,In-flight meal not included,6017
Multiple Carriers,2019-06-27,Delhi,Cochin,16:00:00,01:30:00,570,1.0,No info,13377
Air India,2019-05-24,Mumbai,Hyderabad,21:05:00,22:25:00,80,0.0,No info,3100
Multiple Carriers,2019-05-21,Delhi,Cochin,09:00:00,19:15:00,615,1.0,No info,14848
Indigo,2019-06-24,Kolkata,Banglore,09:35:00,12:20:00,165,0.0,No info,4804
Spicejet,2019-03-27,Kolkata,Banglore,09:00:00,11:30:00,150,0.0,No info,3847
Vistara,2019-06-09,Kolkata,Banglore,20:20:00,23:25:00,1625,1.0,No info,8085
Spicejet,2019-03-21,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No info,3384
Jet Airways,2019-05-21,Kolkata,Banglore,09:35:00,23:35:00,840,1.0,No info,14151
Air India,2019-03-15,Banglore,New Delhi,08:15:00,08:50:00,1475,1.0,No info,5521
Multiple Carriers,2019-05-27,Delhi,Cochin,16:00:00,01:30:00,570,1.0,In-flight meal not included,7308
Indigo,2019-05-27,Delhi,Cochin,02:00:00,07:25:00,325,1.0,No info,7164
Spicejet,2019-06-18,Mumbai,Hyderabad,05:45:00,07:15:00,90,0.0,No check-in baggage included,2647
Air India,2019-05-18,Kolkata,Banglore,14:35:00,14:35:00,1440,1.0,No info,6528
Jet Airways,2019-04-09,Banglore,Delhi,07:10:00,10:10:00,180,0.0,No info,7229
Air India,2019-05-01,Kolkata,Banglore,05:50:00,13:15:00,445,2.0,No info,7662
Jet Airways,2019-05-01,Kolkata,Banglore,08:25:00,09:20:00,1495,1.0,No info,14388
Air India,2019-06-06,Delhi,Cochin,10:00:00,19:15:00,555,1.0,No info,9194
Air India,2019-03-24,Banglore,New Delhi,10:00:00,12:45:00,165,0.0,No info,4441
Multiple Carriers,2019-06-03,Delhi,Cochin,08:30:00,19:00:00,630,1.0,No info,11200
Air India,2019-03-06,Banglore,New Delhi,08:15:00,11:20:00,1625,2.0,No info,13942
Jet Airways,2019-04-01,Kolkata,Banglore,16:30:00,04:40:00,730,1.0,No info,12681
Indigo,2019-05-03,Banglore,Delhi,18:25:00,21:20:00,175,0.0,No info,4823
Jet Airways,2019-05-18,Delhi,Cochin,05:30:00,19:00:00,810,2.0,In-flight meal not included,13029
Multiple Carriers,2019-03-27,Delhi,Cochin,07:10:00,22:20:00,910,1.0,No info,6145
Indigo,2019-03-24,Kolkata,Banglore,17:35:00,22:15:00,280,1.0,No info,6933
Indigo,2019-06-06,Chennai,Kolkata,19:35:00,21:55:00,140,0.0,No info,3597
Multiple Carriers,2019-03-21,Delhi,Cochin,10:20:00,21:00:00,640,1.0,No info,7215
Multiple Carriers,2019-06-27,Delhi,Cochin,04:55:00,19:15:00,860,1.0,No info,7155
Jet Airways,2019-05-06,Kolkata,Banglore,18:55:00,16:20:00,1285,1.0,In-flight meal not included,7757
Spicejet,2019-06-24,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No check-in baggage included,3841
Air India,2019-05-18,Kolkata,Banglore,09:25:00,13:45:00,1700,2.0,No info,13222
Air India,2019-05-09,Kolkata,Banglore,12:00:00,18:30:00,1830,2.0,No info,9626
Vistara,2019-05-12,Kolkata,Banglore,07:10:00,23:25:00,975,1.0,No info,9345
Indigo,2019-05-18,Delhi,Cochin,20:25:00,01:30:00,305,1.0,No info,6069
Vistara,2019-06-09,Kolkata,Banglore,20:20:00,18:50:00,1350,1.0,No info,8610
Indigo,2019-06-01,Banglore,Delhi,08:30:00,11:20:00,170,0.0,No info,4823
Vistara,2019-06-12,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No info,11982
Indigo,2019-06-18,Banglore,Delhi,16:55:00,19:55:00,180,0.0,No info,4823
Indigo,2019-03-21,Banglore,New Delhi,19:35:00,00:35:00,300,1.0,No info,6575
Air India,2019-05-21,Delhi,Cochin,09:00:00,19:15:00,615,1.0,No info,8372
Multiple Carriers,2019-03-03,Delhi,Cochin,04:00:00,15:30:00,690,1.0,No info,14973
Air India,2019-03-15,Banglore,New Delhi,13:20:00,16:10:00,170,0.0,No info,7276
Indigo,2019-05-24,Mumbai,Hyderabad,06:25:00,07:55:00,90,0.0,No info,4049
Indigo,2019-06-24,Kolkata,Banglore,15:30:00,18:05:00,155,0.0,No info,4804
Jet Airways,2019-05-09,Delhi,Cochin,19:45:00,19:00:00,1395,1.0,In-flight meal not included,12373
Jet Airways,2019-05-01,Kolkata,Banglore,09:35:00,09:45:00,1450,1.0,No info,11467
Jet Airways,2019-04-01,Kolkata,Banglore,18:55:00,16:20:00,1285,1.0,No info,12681
Indigo,2019-06-12,Delhi,Cochin,17:05:00,22:25:00,320,1.0,No info,6147
Vistara,2019-05-24,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No info,11982
Jet Airways,2019-05-18,Kolkata,Banglore,18:55:00,20:45:00,1550,1.0,In-flight meal not included,10844
Jet Airways,2019-03-24,Kolkata,Banglore,21:10:00,20:40:00,1410,1.0,No info,13759
Jet Airways,2019-06-06,Kolkata,Banglore,18:55:00,10:05:00,910,1.0,No info,14571
Air India,2019-06-06,Delhi,Cochin,22:00:00,19:15:00,1275,2.0,No info,10441
Multiple Carriers,2019-05-18,Delhi,Cochin,17:30:00,01:30:00,480,1.0,No info,13727
Multiple Carriers,2019-06-03,Delhi,Cochin,06:00:00,21:00:00,900,1.0,No info,8475
Jet Airways,2019-06-24,Mumbai,Hyderabad,02:55:00,04:20:00,85,0.0,No info,5678
Spicejet,2019-05-06,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No check-in baggage included,3859
Spicejet,2019-06-01,Banglore,Delhi,09:30:00,12:20:00,170,0.0,No check-in baggage included,3919
Jet Airways,2019-03-24,Kolkata,Banglore,13:55:00,10:05:00,1210,1.0,In-flight meal not included,11134
Air India,2019-06-03,Delhi,Cochin,13:15:00,09:25:00,1210,2.0,No info,10467
Air India,2019-06-01,Banglore,Delhi,10:00:00,12:45:00,165,0.0,No info,6961
Indigo,2019-04-24,Kolkata,Banglore,19:35:00,00:10:00,275,1.0,No info,4860
Multiple Carriers,2019-06-03,Delhi,Cochin,07:05:00,22:30:00,925,1.0,No info,10696
Multiple Carriers,2019-06-24,Delhi,Cochin,08:45:00,19:15:00,630,1.0,No info,9001
Air India,2019-06-24,Delhi,Cochin,13:15:00,09:25:00,1210,2.0,No info,8839
Jet Airways,2019-03-24,Kolkata,Banglore,13:55:00,12:00:00,1325,1.0,No info,14231
Jet Airways,2019-06-03,Delhi,Cochin,19:45:00,04:25:00,520,1.0,In-flight meal not included,10262
Indigo,2019-03-12,Chennai,Kolkata,07:55:00,10:15:00,140,0.0,No info,6297
Indigo,2019-06-27,Chennai,Kolkata,11:35:00,14:00:00,145,0.0,No info,3858
Air India,2019-03-24,Banglore,New Delhi,10:00:00,12:45:00,165,0.0,No info,7276
Jet Airways,2019-06-09,Kolkata,Banglore,09:35:00,19:10:00,575,1.0,In-flight meal not included,13994
Indigo,2019-03-03,Delhi,Cochin,15:00:00,01:35:00,635,1.0,No info,14871
Indigo,2019-05-21,Delhi,Cochin,09:15:00,21:00:00,705,1.0,No info,7318
Multiple Carriers,2019-03-21,Delhi,Cochin,09:45:00,16:10:00,385,1.0,No info,7242
Indigo,2019-06-01,Kolkata,Banglore,14:25:00,16:55:00,150,0.0,No info,6064
Multiple Carriers,2019-05-15,Delhi,Cochin,10:00:00,01:30:00,930,1.0,No info,8073
Multiple Carriers,2019-06-09,Delhi,Cochin,13:00:00,01:30:00,750,1.0,No info,7198
Multiple Carriers,2019-03-06,Delhi,Cochin,09:10:00,18:50:00,580,1.0,No info,15135
Multiple Carriers,2019-05-09,Delhi,Cochin,07:30:00,19:15:00,705,1.0,No info,7787
Multiple Carriers,2019-06-09,Delhi,Cochin,08:00:00,21:00:00,780,1.0,No info,7408
Jet Airways,2019-06-24,Delhi,Cochin,14:00:00,19:00:00,300,1.0,No info,14714
Jet Airways,2019-05-09,Delhi,Cochin,09:35:00,12:35:00,1620,2.0,No info,14657
Jet Airways,2019-05-01,Kolkata,Banglore,09:35:00,14:25:00,1730,1.0,No info,11467
Indigo,2019-05-09,Mumbai,Hyderabad,20:05:00,21:40:00,95,0.0,No info,2437
Multiple Carriers,2019-06-15,Delhi,Cochin,15:05:00,01:30:00,625,2.0,No info,15965
Vistara,2019-06-12,Kolkata,Banglore,07:10:00,18:50:00,700,1.0,No info,8610
Goair,2019-06-24,Banglore,Delhi,20:55:00,23:40:00,165,0.0,No info,3419
Multiple Carriers,2019-05-21,Delhi,Cochin,07:05:00,18:10:00,665,1.0,No info,9646
Jet Airways,2019-05-09,Kolkata,Banglore,08:25:00,18:15:00,590,1.0,No info,14781
Multiple Carriers,2019-03-27,Delhi,Cochin,07:30:00,19:15:00,705,1.0,No info,9100
Indigo,2019-06-12,Kolkata,Banglore,07:10:00,12:40:00,330,1.0,No info,4864
Air India,2019-03-03,Delhi,Cochin,12:30:00,09:25:00,1255,1.0,No info,16142
Air India,2019-05-18,Kolkata,Banglore,09:25:00,01:20:00,955,2.0,No info,11668
Air Asia,2019-03-12,Kolkata,Banglore,22:50:00,01:20:00,150,0.0,No info,4082
Spicejet,2019-03-09,Mumbai,Hyderabad,05:45:00,07:05:00,80,0.0,No info,4391
Air India,2019-06-12,Kolkata,Banglore,12:00:00,07:55:00,1195,2.0,No info,9416
Indigo,2019-03-03,Delhi,Cochin,17:30:00,01:35:00,485,1.0,No info,14871
Jet Airways,2019-05-15,Kolkata,Banglore,08:25:00,18:15:00,590,1.0,In-flight meal not included,10844
Indigo,2019-03-01,Chennai,Kolkata,14:40:00,17:05:00,145,0.0,No info,7295
Jet Airways,2019-03-06,Banglore,New Delhi,14:05:00,11:25:00,1280,1.0,No info,15025
Indigo,2019-06-06,Kolkata,Banglore,15:15:00,20:30:00,315,1.0,No info,5170
Jet Airways,2019-06-24,Delhi,Cochin,08:00:00,19:00:00,660,1.0,1 Long layover,18581
Air India,2019-05-18,Kolkata,Banglore,14:15:00,16:45:00,150,0.0,No info,6245
Indigo,2019-03-03,Delhi,Cochin,16:10:00,22:20:00,370,1.0,No info,11237
Indigo,2019-05-24,Kolkata,Banglore,20:20:00,22:55:00,155,0.0,No info,4804
Multiple Carriers,2019-03-21,Delhi,Cochin,09:10:00,18:50:00,580,1.0,No info,13069
Jet Airways,2019-06-06,Kolkata,Banglore,06:30:00,23:35:00,1025,1.0,No info,14571
Jet Airways,2019-06-03,Delhi,Cochin,10:00:00,19:00:00,540,1.0,In-flight meal not included,10262
Goair,2019-03-09,Banglore,New Delhi,20:55:00,23:50:00,175,0.0,No info,5706
Spicejet,2019-05-09,Kolkata,Banglore,09:00:00,11:25:00,145,0.0,No check-in baggage included,3841
Jet Airways,2019-06-27,Delhi,Cochin,19:10:00,12:35:00,1045,2.0,In-flight meal not included,11150
Air Asia,2019-05-21,Delhi,Cochin,16:45:00,07:10:00,865,1.0,No info,8327
Multiple Carriers,2019-05-18,Delhi,Cochin,10:20:00,19:00:00,520,1.0,No info,9794
Indigo,2019-06-21,Kolkata,Banglore,21:25:00,00:05:00,160,0.0,No info,4804
Air India,2019-03-12,Banglore,New Delhi,08:50:00,13:55:00,1745,2.0,No info,13303
Air India,2019-03-03,Delhi,Cochin,06:10:00,23:00:00,1010,1.0,No info,13002
Multiple Carriers,2019-06-12,Delhi,Cochin,08:00:00,19:00:00,660,1.0,No info,12192
Indigo,2019-06-09,Delhi,Cochin,21:05:00,00:20:00,195,0.0,No info,6015
Multiple Carriers,2019-06-09,Delhi,Cochin,15:15:00,01:30:00,615,1.0,No info,6795
Multiple Carriers,2019-06-15,Delhi,Cochin,08:30:00,19:15:00,645,1.0,No info,8937
Spicejet,2019-06-06,Kolkata,Banglore,08:35:00,17:15:00,520,1.0,No info,6643
Multiple Carriers,2019-03-21,Delhi,Cochin,04:45:00,18:50:00,845,1.0,No info,11098
Multiple Carriers,2019-06-15,Delhi,Cochin,10:35:00,19:00:00,505,1.0,No info,10877
Jet Airways,2019-03-27,Mumbai,Hyderabad,10:20:00,11:50:00,90,0.0,No info,8040
Indigo,2019-05-24,Mumbai,Hyderabad,21:20:00,22:50:00,90,0.0,No info,2437
